county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Gretchen Whitmer Garlin D. Gilchrist II,DEM,360,344,704
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Tudor M. Dixon Shane Hernandez,REP,791,327,1118
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Mary Buzuma Brian Ellison,LIB,13,9,22
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Donna Brandenburg Mellissa Carone,UST,2,1,3
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Kevin Hogan Destiny Clayton,GRE,2,1,3
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Daryl M. Simpson Doug Dern,NAL,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Cast Votes:,,1168,682,1850
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Undervotes:,,3,4,7
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Overvotes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Rejected write-in votes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 1B",Governor,,Unresolved write-in votes:,,0,0,0
