county,precinct,office,district,party,candidate,votes
Iosoco,Alabaster Township Precinct 1,Straight Party,,DEM,Democratic Party,54
Iosoco,AuSable Township Precinct 1,Straight Party,,DEM,Democratic Party,224
Iosoco,Baldwin Township Precinct 1,Straight Party,,DEM,Democratic Party,172
Iosoco,Burleigh Township Precinct 1,Straight Party,,DEM,Democratic Party,48
Iosoco,City of East Tawas Precinct 1,Straight Party,,DEM,Democratic Party,292
Iosoco,City of Tawas City Precinct 1,Straight Party,,DEM,Democratic Party,144
Iosoco,City of Whittemore Precinct 1,Straight Party,,DEM,Democratic Party,26
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,DEM,Democratic Party,139
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,DEM,Democratic Party,245
Iosoco,Oscoda Township Precinct 2,Straight Party,,DEM,Democratic Party,92
Iosoco,Oscoda Township Precinct 3,Straight Party,,DEM,Democratic Party,181
Iosoco,Oscoda Township Precinct 4,Straight Party,,DEM,Democratic Party,207
Iosoco,Plainfield Township Precinct 1,Straight Party,,DEM,Democratic Party,140
Iosoco,Plainfield Township Precinct 2,Straight Party,,DEM,Democratic Party,250
Iosoco,Reno Township Precinct 1,Straight Party,,DEM,Democratic Party,36
Iosoco,Sherman Township Precinct 1,Straight Party,,DEM,Democratic Party,26
Iosoco,Tawas Township Precinct 1,Straight Party,,DEM,Democratic Party,143
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,DEM,Democratic Party,83
Iosoco,Total,Straight Party,,DEM,Democratic Party,2502
Iosoco,Alabaster Township Precinct 1,Straight Party,,REP,Republican Party,123
Iosoco,AuSable Township Precinct 1,Straight Party,,REP,Republican Party,365
Iosoco,Baldwin Township Precinct 1,Straight Party,,REP,Republican Party,317
Iosoco,Burleigh Township Precinct 1,Straight Party,,REP,Republican Party,122
Iosoco,City of East Tawas Precinct 1,Straight Party,,REP,Republican Party,455
