county,precinct,office,district,party,candidate,votes
Iron,"City of Caspian, Precinct 1",Straight Ticket,,DEM,Democratic Party,81
Iron,"City of Caspian, Precinct 1",Straight Ticket,,REP,Republican Party,97
Iron,"City of Caspian, Precinct 1",Straight Ticket,,LIB,Libertarian Party,1
Iron,"City of Caspian, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,1
Iron,"City of Caspian, Precinct 1",Straight Ticket,,WCP,Working Class Party,0
Iron,"City of Caspian, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"City of Caspian, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,DEM,Democratic Party,129
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,REP,Republican Party,189
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,LIB,Libertarian Party,3
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,3
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,WCP,Working Class Party,5
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,GRN,Green Party,2
Iron,"City of Crystal Falls, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,DEM,Democratic Party,24
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,REP,Republican Party,57
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,LIB,Libertarian Party,1
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,1
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,WCP,Working Class Party,0
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"City of Gaastra, Precinct 1",Straight Ticket,,Write-In,Write-In,1
Iron,"City of Iron River, Precinct 1",Straight Ticket,,DEM,Democratic Party,138
Iron,"City of Iron River, Precinct 1",Straight Ticket,,REP,Republican Party,231
Iron,"City of Iron River, Precinct 1",Straight Ticket,,LIB,Libertarian Party,5
Iron,"City of Iron River, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,1
Iron,"City of Iron River, Precinct 1",Straight Ticket,,WCP,Working Class Party,2
Iron,"City of Iron River, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"City of Iron River, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"City of Iron River, Precinct 2",Straight Ticket,,DEM,Democratic Party,109
Iron,"City of Iron River, Precinct 2",Straight Ticket,,REP,Republican Party,193
Iron,"City of Iron River, Precinct 2",Straight Ticket,,LIB,Libertarian Party,0
Iron,"City of Iron River, Precinct 2",Straight Ticket,,UST,U.S. Taxpayers,0
Iron,"City of Iron River, Precinct 2",Straight Ticket,,WCP,Working Class Party,3
Iron,"City of Iron River, Precinct 2",Straight Ticket,,GRN,Green Party,0
Iron,"City of Iron River, Precinct 2",Straight Ticket,,Write-In,Write-In,1
Iron,"Bates Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,98
Iron,"Bates Township, Precinct 1",Straight Ticket,,REP,Republican Party,193
Iron,"Bates Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,1
Iron,"Bates Township, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,0
Iron,"Bates Township, Precinct 1",Straight Ticket,,WCP,Working Class Party,3
Iron,"Bates Township, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"Bates Township, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,176
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,REP,Republican Party,233
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,4
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,1
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,WCP,Working Class Party,1
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,GRN,Green Party,1
Iron,"Crystal Falls Township, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"Hematite Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,25
Iron,"Hematite Township, Precinct 1",Straight Ticket,,REP,Republican Party,36
Iron,"Hematite Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,0
Iron,"Hematite Township, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,0
Iron,"Hematite Township, Precinct 1",Straight Ticket,,WCP,Working Class Party,1
Iron,"Hematite Township, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"Hematite Township, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"Iron River Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,97
Iron,"Iron River Township, Precinct 1",Straight Ticket,,REP,Republican Party,228
Iron,"Iron River Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,2
Iron,"Iron River Township, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,0
Iron,"Iron River Township, Precinct 1",Straight Ticket,,WCP,Working Class Party,0
Iron,"Iron River Township, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"Iron River Township, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,25
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,REP,Republican Party,51
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,0
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,0
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,WCP,Working Class Party,0
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,GRN,Green Party,1
Iron,"Mansfield Township, Precinct 1",Straight Ticket,,Write-In,Write-In,1
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,77
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,REP,Republican Party,141
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,1
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,UST,U.S. Taxpayers,0
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,WCP,Working Class Party,0
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,GRN,Green Party,0
Iron,"Mastodon Township, Precinct 1",Straight Ticket,,Write-In,Write-In,0
Iron,"Stambaugh Township, Precinct 1",Straight Ticket,,DEM,Democratic Party,128
Iron,"Stambaugh Township, Precinct 1",Straight Ticket,,REP,Republican Party,251
Iron,"Stambaugh Township, Precinct 1",Straight Ticket,,LIB,Libertarian Party,0
