county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",Attorney General,,DEM,Dana Nessel,680
Livingston,"City of Brighton, Precinct 1",Attorney General,,REP,Matthew DePerno,527
Livingston,"City of Brighton, Precinct 1",Attorney General,,LIB,Joseph W. McHugh Jr.,40
Livingston,"City of Brighton, Precinct 1",Attorney General,,UST,Gerald T. Van Sickle,6
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Cast Votes,1253
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Undervotes,48
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Overvotes,0
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Rejected,1
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Unassigned,0
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Absentee,631
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Election,671
Livingston,"City of Brighton, Precinct 1",Attorney General,,,Total,1302
Livingston,"City of Brighton, Precinct 2",Attorney General,,DEM,Dana Nessel,501
Livingston,"City of Brighton, Precinct 2",Attorney General,,REP,Matthew DePerno,419
Livingston,"City of Brighton, Precinct 2",Attorney General,,LIB,Joseph W. McHugh Jr.,21
Livingston,"City of Brighton, Precinct 2",Attorney General,,UST,Gerald T. Van Sickle,4
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Cast Votes,945
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Undervotes,32
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Overvotes,0
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Rejected,0
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Unassigned,0
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Absentee,457
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Election,520
Livingston,"City of Brighton, Precinct 2",Attorney General,,,Total,977
Livingston,"City of Brighton, Precinct 3",Attorney General,,DEM,Dana Nessel,662
Livingston,"City of Brighton, Precinct 3",Attorney General,,REP,Matthew DePerno,501
Livingston,"City of Brighton, Precinct 3",Attorney General,,LIB,Joseph W. McHugh Jr.,26
Livingston,"City of Brighton, Precinct 3",Attorney General,,UST,Gerald T. Van Sickle,6
Livingston,"City of Brighton, Precinct 3",Attorney General,,,Cast Votes,1195
Livingston,"City of Brighton, Precinct 3",Attorney General,,,Undervotes,46
Livingston,"City of Brighton, Precinct 3",Attorney General,,,Overvotes,0
Livingston,"City of Brighton, Precinct 3",Attorney General,,,Rejected,0
