county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",Governor,,DEM,Gretchen Whitmer,713
Livingston,"City of Brighton, Precinct 1",Governor,,REP,Tudor M. Dixon,552
Livingston,"City of Brighton, Precinct 1",Governor,,LIB,Mary Buzuma,19
Livingston,"City of Brighton, Precinct 1",Governor,,UST,Donna Brandenburg,1
Livingston,"City of Brighton, Precinct 1",Governor,,GRN,Kevin Hogan,2
Livingston,"City of Brighton, Precinct 1",Governor,,NLP,Daryl M. Simpson,0
Livingston,"City of Brighton, Precinct 1",Governor,,W,Bob Scott,0
Livingston,"City of Brighton, Precinct 1",Governor,,W,Elizabeth Ann Adkisson,0
Livingston,"City of Brighton, Precinct 1",Governor,,W,Ervin Joseph Lamie,0
Livingston,"City of Brighton, Precinct 1",Governor,,W,Eugene Rosell Hunt Jr.,0
Livingston,"City of Brighton, Precinct 1",Governor,,W,Evan S. Space,0
Livingston,"City of Brighton, Precinct 2",Governor,,DEM,Gretchen Whitmer,520
Livingston,"City of Brighton, Precinct 2",Governor,,REP,Tudor M. Dixon,431
Livingston,"City of Brighton, Precinct 2",Governor,,LIB,Mary Buzuma,13
Livingston,"City of Brighton, Precinct 2",Governor,,UST,Donna Brandenburg,1
Livingston,"City of Brighton, Precinct 2",Governor,,GRN,Kevin Hogan,3
Livingston,"City of Brighton, Precinct 2",Governor,,NLP,Daryl M. Simpson,0
Livingston,"City of Brighton, Precinct 2",Governor,,W,Bob Scott,0
Livingston,"City of Brighton, Precinct 2",Governor,,W,Elizabeth Ann Adkisson,0
Livingston,"City of Brighton, Precinct 2",Governor,,W,Ervin Joseph Lamie,0
Livingston,"City of Brighton, Precinct 2",Governor,,W,Eugene Rosell Hunt Jr.,0
Livingston,"City of Brighton, Precinct 2",Governor,,W,Evan S. Space,0
Livingston,"City of Brighton, Precinct 3",Governor,,DEM,Gretchen Whitmer,694
Livingston,"City of Brighton, Precinct 3",Governor,,REP,Tudor M. Dixon,511
Livingston,"City of Brighton, Precinct 3",Governor,,LIB,Mary Buzuma,17
Livingston,"City of Brighton, Precinct 3",Governor,,UST,Donna Brandenburg,6
Livingston,"City of Brighton, Precinct 3",Governor,,GRN,Kevin Hogan,3
Livingston,"City of Brighton, Precinct 3",Governor,,NLP,Daryl M. Simpson,1
Livingston,"City of Brighton, Precinct 3",Governor,,W,Bob Scott,0
Livingston,"City of Brighton, Precinct 3",Governor,,W,Elizabeth Ann Adkisson,0
Livingston,"City of Brighton, Precinct 3",Governor,,W,Ervin Joseph Lamie,0
Livingston,"City of Brighton, Precinct 3",Governor,,W,Eugene Rosell Hunt Jr.,0
Livingston,"City of Brighton, Precinct 3",Governor,,W,Evan S. Space,0
Livingston,"City of Brighton, Precinct 4",Governor,,DEM,Gretchen Whitmer,497
Livingston,"City of Brighton, Precinct 4",Governor,,REP,Tudor M. Dixon,459
Livingston,"City of Brighton, Precinct 4",Governor,,LIB,Mary Buzuma,6
Livingston,"City of Brighton, Precinct 4",Governor,,UST,Donna Brandenburg,4
Livingston,"City of Brighton, Precinct 4",Governor,,GRN,Kevin Hogan,1
Livingston,"City of Brighton, Precinct 4",Governor,,NLP,Daryl M. Simpson,1
Livingston,"City of Brighton, Precinct 4",Governor,,W,Bob Scott,0
Livingston,"City of Brighton, Precinct 4",Governor,,W,Elizabeth Ann Adkisson,0
Livingston,"City of Brighton, Precinct 4",Governor,,W,Ervin Joseph Lamie,0
Livingston,"City of Brighton, Precinct 4",Governor,,W,Eugene Rosell Hunt Jr.,0
Livingston,"City of Brighton, Precinct 4",Governor,,W,Evan S. Space,0
Livingston,"City of Howell, Precinct 1",Governor,,DEM,Gretchen Whitmer,776
Livingston,"City of Howell, Precinct 1",Governor,,REP,Tudor M. Dixon,761
Livingston,"City of Howell, Precinct 1",Governor,,LIB,Mary Buzuma,24
Livingston,"City of Howell, Precinct 1",Governor,,UST,Donna Brandenburg,3
Livingston,"City of Howell, Precinct 1",Governor,,GRN,Kevin Hogan,3
Livingston,"City of Howell, Precinct 1",Governor,,NLP,Daryl M. Simpson,1
Livingston,"City of Howell, Precinct 1",Governor,,W,Bob Scott,2
Livingston,"City of Howell, Precinct 1",Governor,,W,Elizabeth Ann Adkisson,0
Livingston,"City of Howell, Precinct 1",Governor,,W,Ervin Joseph Lamie,0
Livingston,"City of Howell, Precinct 1",Governor,,W,Eugene Rosell Hunt Jr.,0
Livingston,"City of Howell, Precinct 1",Governor,,W,Evan S. Space,0
Livingston,"City of Howell, Precinct 2",Governor,,DEM,Gretchen Whitmer,670
Livingston,"City of Howell, Precinct 2",Governor,,REP,Tudor M. Dixon,478
