county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",Secretary of State,,DEM,Jocelyn Benson,733
Livingston,"City of Brighton, Precinct 1",Secretary of State,,REP,Kristina Elaine Karamo,511
Livingston,"City of Brighton, Precinct 1",Secretary of State,,LIB,Gregory Scott Stempfle,20
Livingston,"City of Brighton, Precinct 1",Secretary of State,,UST,Christine C. Schwartz,6
Livingston,"City of Brighton, Precinct 1",Secretary of State,,GRN,Larry James Hutchinson Jr.,1
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Cast Votes,1271
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Undervotes,30
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Overvotes,0
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Rejected,1
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Unassigned,0
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Absentee,631
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Election,671
Livingston,"City of Brighton, Precinct 1",Secretary of State,,,Total,1302
Livingston,"City of Brighton, Precinct 2",Secretary of State,,DEM,Jocelyn Benson,542
Livingston,"City of Brighton, Precinct 2",Secretary of State,,REP,Kristina Elaine Karamo,395
Livingston,"City of Brighton, Precinct 2",Secretary of State,,LIB,Gregory Scott Stempfle,19
Livingston,"City of Brighton, Precinct 2",Secretary of State,,UST,Christine C. Schwartz,2
Livingston,"City of Brighton, Precinct 2",Secretary of State,,GRN,Larry James Hutchinson Jr.,4
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Cast Votes,962
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Undervotes,15
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Overvotes,0
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Rejected,0
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Unassigned,0
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Absentee,457
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Election,520
Livingston,"City of Brighton, Precinct 2",Secretary of State,,,Total,977
Livingston,"City of Brighton, Precinct 3",Secretary of State,,DEM,Jocelyn Benson,718
Livingston,"City of Brighton, Precinct 3",Secretary of State,,REP,Kristina Elaine Karamo,459
Livingston,"City of Brighton, Precinct 3",Secretary of State,,LIB,Gregory Scott Stempfle,19
Livingston,"City of Brighton, Precinct 3",Secretary of State,,UST,Christine C. Schwartz,6
Livingston,"City of Brighton, Precinct 3",Secretary of State,,GRN,Larry James Hutchinson Jr.,7
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Cast Votes,1209
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Undervotes,32
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Overvotes,0
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Rejected,0
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Unassigned,0
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Absentee,600
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Election,641
Livingston,"City of Brighton, Precinct 3",Secretary of State,,,Total,1241
Livingston,"City of Brighton, Precinct 4",Secretary of State,,DEM,Jocelyn Benson,551
Livingston,"City of Brighton, Precinct 4",Secretary of State,,REP,Kristina Elaine Karamo,400
Livingston,"City of Brighton, Precinct 4",Secretary of State,,LIB,Gregory Scott Stempfle,7
Livingston,"City of Brighton, Precinct 4",Secretary of State,,UST,Christine C. Schwartz,4
Livingston,"City of Brighton, Precinct 4",Secretary of State,,GRN,Larry James Hutchinson Jr.,1
Livingston,"City of Brighton, Precinct 4",Secretary of State,,,Cast Votes,963
Livingston,"City of Brighton, Precinct 4",Secretary of State,,,Undervotes,12
Livingston,"City of Brighton, Precinct 4",Secretary of State,,,Overvotes,1
Livingston,"City of Brighton, Precinct 4",Secretary of State,,,Rejected,1
Livingston,"City of Brighton, Precinct 4",Secretary of State,,,Unassigned,0
