county,precinct,office,district,party,candidate,votes
Livingston,"Genoa Charter Township,Precinct 1",State House,48,DEM,Jennifer Conlin,528
Livingston,"Genoa Charter Township,Precinct 1",State House,48,REP,Jason Woolford,721
Livingston,"Genoa Charter Township,Precinct 1",State House,48,GRN,Eric Borregard,10
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Cast Votes,1259
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Undervotes,41
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Absentee,571
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Election,730
Livingston,"Genoa Charter Township,Precinct 1",State House,48,,Total,1301
Livingston,"Genoa Charter Township,Precinct 2",State House,48,DEM,Jennifer Conlin,236
Livingston,"Genoa Charter Township,Precinct 2",State House,48,REP,Jason Woolford,341
Livingston,"Genoa Charter Township,Precinct 2",State House,48,GRN,Eric Borregard,7
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Cast Votes,584
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Undervotes,26
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Absentee,204
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Election,406
Livingston,"Genoa Charter Township,Precinct 2",State House,48,,Total,610
Livingston,"Genoa Charter Township,Precinct 3",State House,48,DEM,Jennifer Conlin,505
Livingston,"Genoa Charter Township,Precinct 3",State House,48,REP,Jason Woolford,654
Livingston,"Genoa Charter Township,Precinct 3",State House,48,GRN,Eric Borregard,18
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Cast Votes,1177
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Undervotes,50
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Absentee,558
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Election,670
Livingston,"Genoa Charter Township,Precinct 3",State House,48,,Total,1228
Livingston,"Genoa Charter Township,Precinct 4",State House,48,DEM,Jennifer Conlin,484
Livingston,"Genoa Charter Township,Precinct 4",State House,48,REP,Jason Woolford,548
Livingston,"Genoa Charter Township,Precinct 4",State House,48,GRN,Eric Borregard,8
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Cast Votes,1040
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Undervotes,45
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Rejected,2
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Absentee,546
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Election,541
Livingston,"Genoa Charter Township,Precinct 4",State House,48,,Total,1087
Livingston,"Genoa Charter Township,Precinct 5",State House,48,DEM,Jennifer Conlin,244
Livingston,"Genoa Charter Township,Precinct 5",State House,48,REP,Jason Woolford,473
Livingston,"Genoa Charter Township,Precinct 5",State House,48,GRN,Eric Borregard,10
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Cast Votes,727
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Undervotes,21
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Overvotes,2
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Absentee,273
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Election,477
Livingston,"Genoa Charter Township,Precinct 5",State House,48,,Total,750
Livingston,"Genoa Charter Township,Precinct 6",State House,48,DEM,Jennifer Conlin,624
Livingston,"Genoa Charter Township,Precinct 6",State House,48,REP,Jason Woolford,1141
Livingston,"Genoa Charter Township,Precinct 6",State House,48,GRN,Eric Borregard,8
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Cast Votes,1773
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Undervotes,42
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Absentee,1064
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Election,751
Livingston,"Genoa Charter Township,Precinct 6",State House,48,,Total,1815
Livingston,"Genoa Charter Township,Precinct 7",State House,48,DEM,Jennifer Conlin,371
Livingston,"Genoa Charter Township,Precinct 7",State House,48,REP,Jason Woolford,513
Livingston,"Genoa Charter Township,Precinct 7",State House,48,GRN,Eric Borregard,4
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Cast Votes,888
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Undervotes,36
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Absentee,429
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Election,495
Livingston,"Genoa Charter Township,Precinct 7",State House,48,,Total,924
Livingston,"Genoa Charter Township,Precinct 8",State House,48,DEM,Jennifer Conlin,411
Livingston,"Genoa Charter Township,Precinct 8",State House,48,REP,Jason Woolford,657
Livingston,"Genoa Charter Township,Precinct 8",State House,48,GRN,Eric Borregard,3
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Cast Votes,1071
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Undervotes,31
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Absentee,601
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Election,501
Livingston,"Genoa Charter Township,Precinct 8",State House,48,,Total,1102
Livingston,"Genoa Charter Township,Precinct 9",State House,48,DEM,Jennifer Conlin,387
Livingston,"Genoa Charter Township,Precinct 9",State House,48,REP,Jason Woolford,611
Livingston,"Genoa Charter Township,Precinct 9",State House,48,GRN,Eric Borregard,17
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Cast Votes,1015
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Undervotes,46
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Absentee,509
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Election,554
Livingston,"Genoa Charter Township,Precinct 9",State House,48,,Total,1063
Livingston,"Genoa Charter Township,Precinct 10",State House,48,DEM,Jennifer Conlin,387
Livingston,"Genoa Charter Township,Precinct 10",State House,48,REP,Jason Woolford,730
Livingston,"Genoa Charter Township,Precinct 10",State House,48,GRN,Eric Borregard,8
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Cast Votes,1125
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Undervotes,35
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Absentee,568
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Election,592
Livingston,"Genoa Charter Township,Precinct 10",State House,48,,Total,1160
Livingston,"Genoa Charter Township,Precinct 11",State House,48,DEM,Jennifer Conlin,188
Livingston,"Genoa Charter Township,Precinct 11",State House,48,REP,Jason Woolford,289
Livingston,"Genoa Charter Township,Precinct 11",State House,48,GRN,Eric Borregard,3
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Cast Votes,480
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Undervotes,18
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Absentee,203
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Election,295
Livingston,"Genoa Charter Township,Precinct 11",State House,48,,Total,498
Livingston,"Genoa Charter Township,Precinct 12",State House,48,DEM,Jennifer Conlin,211
Livingston,"Genoa Charter Township,Precinct 12",State House,48,REP,Jason Woolford,266
