county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",State Senate,37,DEM,Jordan Genso,636
Livingston,"City of Brighton, Precinct 1",State Senate,37,REP,Lana L. Theis,582
Livingston,"City of Brighton, Precinct 1",State Senate,37,LIB,Jon Elgas,25
Livingston,"City of Brighton, Precinct 1",State Senate,37,UST,Victoria McCasey,12
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Cast Votes,1255
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Undervotes,46
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Overvotes,0
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Rejected,1
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Unassigned,0
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Absentee,631
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Election,671
Livingston,"City of Brighton, Precinct 1",State Senate,37,,Total,1302
Livingston,"City of Brighton, Precinct 2",State Senate,37,DEM,Jordan Genso,441
Livingston,"City of Brighton, Precinct 2",State Senate,37,REP,Lana L. Theis,473
Livingston,"City of Brighton, Precinct 2",State Senate,37,LIB,Jon Elgas,18
Livingston,"City of Brighton, Precinct 2",State Senate,37,UST,Victoria McCasey,8
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Cast Votes,940
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Undervotes,37
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Overvotes,0
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Rejected,0
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Unassigned,0
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Absentee,457
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Election,520
Livingston,"City of Brighton, Precinct 2",State Senate,37,,Total,977
Livingston,"City of Brighton, Precinct 3",State Senate,37,DEM,Jordan Genso,602
Livingston,"City of Brighton, Precinct 3",State Senate,37,REP,Lana L. Theis,568
Livingston,"City of Brighton, Precinct 3",State Senate,37,LIB,Jon Elgas,15
Livingston,"City of Brighton, Precinct 3",State Senate,37,UST,Victoria McCasey,9
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Cast Votes,1194
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Undervotes,47
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Overvotes,0
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Rejected,0
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Unassigned,0
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Absentee,600
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Election,641
Livingston,"City of Brighton, Precinct 3",State Senate,37,,Total,1241
Livingston,"City of Brighton, Precinct 4",State Senate,37,DEM,Jordan Genso,423
Livingston,"City of Brighton, Precinct 4",State Senate,37,REP,Lana L. Theis,519
Livingston,"City of Brighton, Precinct 4",State Senate,37,LIB,Jon Elgas,11
Livingston,"City of Brighton, Precinct 4",State Senate,37,UST,Victoria McCasey,3
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Cast Votes,956
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Undervotes,21
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Overvotes,0
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Rejected,0
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Unassigned,0
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Absentee,606
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Election,371
Livingston,"City of Brighton, Precinct 4",State Senate,37,,Total,977
Livingston,"City of Howell, Precinct 1",State Senate,37,DEM,Jordan Genso,666
Livingston,"City of Howell, Precinct 1",State Senate,37,REP,Lana L. Theis,810
Livingston,"City of Howell, Precinct 1",State Senate,37,LIB,Jon Elgas,22
Livingston,"City of Howell, Precinct 1",State Senate,37,UST,Victoria McCasey,21
Livingston,"City of Howell, Precinct 1",State Senate,37,,Cast Votes,1519
Livingston,"City of Howell, Precinct 1",State Senate,37,,Undervotes,64
Livingston,"City of Howell, Precinct 1",State Senate,37,,Overvotes,0
Livingston,"City of Howell, Precinct 1",State Senate,37,,Rejected,1
Livingston,"City of Howell, Precinct 1",State Senate,37,,Unassigned,0
Livingston,"City of Howell, Precinct 1",State Senate,37,,Absentee,659
Livingston,"City of Howell, Precinct 1",State Senate,37,,Election,925
Livingston,"City of Howell, Precinct 1",State Senate,37,,Total,1584
Livingston,"City of Howell, Precinct 2",State Senate,37,DEM,Jordan Genso,548
Livingston,"City of Howell, Precinct 2",State Senate,37,REP,Lana L. Theis,537
Livingston,"City of Howell, Precinct 2",State Senate,37,LIB,Jon Elgas,33
Livingston,"City of Howell, Precinct 2",State Senate,37,UST,Victoria McCasey,15
Livingston,"City of Howell, Precinct 2",State Senate,37,,Cast Votes,1133
Livingston,"City of Howell, Precinct 2",State Senate,37,,Undervotes,52
Livingston,"City of Howell, Precinct 2",State Senate,37,,Overvotes,0
Livingston,"City of Howell, Precinct 2",State Senate,37,,Rejected,2
Livingston,"City of Howell, Precinct 2",State Senate,37,,Unassigned,0
Livingston,"City of Howell, Precinct 2",State Senate,37,,Absentee,369
Livingston,"City of Howell, Precinct 2",State Senate,37,,Election,818
Livingston,"City of Howell, Precinct 2",State Senate,37,,Total,1187
Livingston,"City of Howell, Precinct 3",State Senate,37,DEM,Jordan Genso,642
Livingston,"City of Howell, Precinct 3",State Senate,37,REP,Lana L. Theis,852
Livingston,"City of Howell, Precinct 3",State Senate,37,LIB,Jon Elgas,31
Livingston,"City of Howell, Precinct 3",State Senate,37,UST,Victoria McCasey,11
Livingston,"City of Howell, Precinct 3",State Senate,37,,Cast Votes,1536
Livingston,"City of Howell, Precinct 3",State Senate,37,,Undervotes,44
Livingston,"City of Howell, Precinct 3",State Senate,37,,Overvotes,0
Livingston,"City of Howell, Precinct 3",State Senate,37,,Rejected,0
Livingston,"City of Howell, Precinct 3",State Senate,37,,Unassigned,0
Livingston,"City of Howell, Precinct 3",State Senate,37,,Absentee,662
Livingston,"City of Howell, Precinct 3",State Senate,37,,Election,918
Livingston,"City of Howell, Precinct 3",State Senate,37,,Total,1580
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,DEM,Jordan Genso,450
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,REP,Lana L. Theis,837
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,LIB,Jon Elgas,18
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,UST,Victoria McCasey,7
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Cast Votes,1312
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Undervotes,43
