county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",Straight Party,,DEM,Democratic Party,362
Livingston,"City of Brighton, Precinct 1",Straight Party,,REP,Republican Party,340
Livingston,"City of Brighton, Precinct 1",Straight Party,,LIB,Libertarian Party,9
Livingston,"City of Brighton, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"City of Brighton, Precinct 1",Straight Party,,WCP,Working Class Party,2
Livingston,"City of Brighton, Precinct 1",Straight Party,,GRN,Green Party,2
Livingston,"City of Brighton, Precinct 1",Straight Party,,NLP,Natural Law Party,0
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Cast Votes,715
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Undervotes,587
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Overvotes,0
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Rejected,0
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Unassigned,0
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Absentee,631
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Election,671
Livingston,"City of Brighton, Precinct 2",Straight Party,,DEM,Democratic Party,248
Livingston,"City of Brighton, Precinct 2",Straight Party,,REP,Republican Party,260
Livingston,"City of Brighton, Precinct 2",Straight Party,,LIB,Libertarian Party,5
Livingston,"City of Brighton, Precinct 2",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"City of Brighton, Precinct 2",Straight Party,,WCP,Working Class Party,2
Livingston,"City of Brighton, Precinct 2",Straight Party,,GRN,Green Party,1
Livingston,"City of Brighton, Precinct 2",Straight Party,,NLP,Natural Law Party,1
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Cast Votes,518
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Undervotes,458
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Overvotes,1
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Rejected,0
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Unassigned,0
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Absentee,457
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Election,520
Livingston,"City of Brighton, Precinct 3",Straight Party,,DEM,Democratic Party,326
Livingston,"City of Brighton, Precinct 3",Straight Party,,REP,Republican Party,273
