county,precinct,office,district,party,candidate,votes
Livingston,"City of Brighton, Precinct 1",U.S. House,7,DEM,Elissa Slotkin,684
Livingston,"City of Brighton, Precinct 1",U.S. House,7,REP,Tom Barrett,555
Livingston,"City of Brighton, Precinct 1",U.S. House,7,LIB,Leah R. Dailey,38
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Cast Votes,1277
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Undervotes,24
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Overvotes,0
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Rejected,1
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Unassigned,0
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Absentee,631
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Election,671
Livingston,"City of Brighton, Precinct 1",U.S. House,7,,Total,1302
Livingston,"City of Brighton, Precinct 2",U.S. House,7,DEM,Elissa Slotkin,500
Livingston,"City of Brighton, Precinct 2",U.S. House,7,REP,Tom Barrett,434
Livingston,"City of Brighton, Precinct 2",U.S. House,7,LIB,Leah R. Dailey,23
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Cast Votes,957
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Undervotes,18
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Overvotes,2
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Rejected,0
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Unassigned,0
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Absentee,457
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Election,520
Livingston,"City of Brighton, Precinct 2",U.S. House,7,,Total,977
Livingston,"City of Brighton, Precinct 3",U.S. House,7,DEM,Elissa Slotkin,670
Livingston,"City of Brighton, Precinct 3",U.S. House,7,REP,Tom Barrett,512
Livingston,"City of Brighton, Precinct 3",U.S. House,7,LIB,Leah R. Dailey,27
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Cast Votes,1209
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Undervotes,31
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Overvotes,0
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Rejected,1
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Unassigned,0
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Absentee,600
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Election,641
Livingston,"City of Brighton, Precinct 3",U.S. House,7,,Total,1241
Livingston,"City of Brighton, Precinct 4",U.S. House,7,DEM,Elissa Slotkin,479
Livingston,"City of Brighton, Precinct 4",U.S. House,7,REP,Tom Barrett,468
Livingston,"City of Brighton, Precinct 4",U.S. House,7,LIB,Leah R. Dailey,13
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Cast Votes,960
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Undervotes,15
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Overvotes,0
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Rejected,2
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Unassigned,0
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Absentee,606
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Election,371
Livingston,"City of Brighton, Precinct 4",U.S. House,7,,Total,977
Livingston,"City of Howell, Precinct 1",U.S. House,7,DEM,Elissa Slotkin,746
Livingston,"City of Howell, Precinct 1",U.S. House,7,REP,Tom Barrett,774
Livingston,"City of Howell, Precinct 1",U.S. House,7,LIB,Leah R. Dailey,39
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Cast Votes,1559
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Undervotes,24
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Overvotes,0
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Rejected,1
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Unassigned,0
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Absentee,659
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Election,925
Livingston,"City of Howell, Precinct 1",U.S. House,7,,Total,1584
Livingston,"City of Howell, Precinct 2",U.S. House,7,DEM,Elissa Slotkin,628
Livingston,"City of Howell, Precinct 2",U.S. House,7,REP,Tom Barrett,509
Livingston,"City of Howell, Precinct 2",U.S. House,7,LIB,Leah R. Dailey,28
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Cast Votes,1165
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Undervotes,21
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Overvotes,0
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Rejected,1
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Unassigned,0
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Absentee,369
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Election,818
Livingston,"City of Howell, Precinct 2",U.S. House,7,,Total,1187
Livingston,"City of Howell, Precinct 3",U.S. House,7,DEM,Elissa Slotkin,729
Livingston,"City of Howell, Precinct 3",U.S. House,7,REP,Tom Barrett,807
Livingston,"City of Howell, Precinct 3",U.S. House,7,LIB,Leah R. Dailey,27
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Cast Votes,1563
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Undervotes,16
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Overvotes,0
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Rejected,1
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Unassigned,0
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Absentee,662
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Election,918
Livingston,"City of Howell, Precinct 3",U.S. House,7,,Total,1580
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,DEM,Elissa Slotkin,524
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,REP,Tom Barrett,787
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,LIB,Leah R. Dailey,21
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Cast Votes,1332
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Undervotes,23
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Absentee,672
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Election,683
Livingston,"Brighton Charter Township,Precinct 1",U.S. House,7,,Total,1355
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,DEM,Elissa Slotkin,386
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,REP,Tom Barrett,664
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,LIB,Leah R. Dailey,28
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Cast Votes,1078
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Undervotes,12
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Absentee,462
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Election,628
Livingston,"Brighton Charter Township,Precinct 2",U.S. House,7,,Total,1090
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,DEM,Elissa Slotkin,569
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,REP,Tom Barrett,648
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,LIB,Leah R. Dailey,19
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,,Cast Votes,1236
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,,Undervotes,11
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 3",U.S. House,7,,Rejected,0
