county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Kim S. Nagy,DEM,198,115,313
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Roger Victory,REP,744,240,984
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Jessica L. Fox,LIB,16,4,20
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Cast Votes:,,958,359,1317
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Undervotes:,,28,2,30
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Overvotes:,,0,0,0
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Rejected write-in votes:,,3,2,5
Ottawa,"Zeeland Township, Precinct 1",State Senate,,Unresolved write-in votes:,,0,0,0
Ottawa,"Zeeland Township, Precinct 1",State House,,Todd Avery,DEM,195,111,306
Ottawa,"Zeeland Township, Precinct 1",State House,,Bradley Slagh,REP,759,247,1006
Ottawa,"Zeeland Township, Precinct 1",State House,,Greg Parlmer II,LIB,12,2,14
Ottawa,"Zeeland Township, Precinct 1",State House,,Cast Votes:,,966,360,1326
Ottawa,"Zeeland Township, Precinct 1",State House,,Undervotes:,,22,3,25
Ottawa,"Zeeland Township, Precinct 1",State House,,Overvotes:,,0,0,0
Ottawa,"Zeeland Township, Precinct 1",State House,,Rejected write-in votes:,,1,0,1
Ottawa,"Zeeland Township, Precinct 1",State House,,Unresolved write-in votes:,,0,0,0
