x,y,text
19.008,-204.67700000000002,Precinct
154.512,-203.16500000000002,"Democratic Party, DEM "
204.912,320.488,
204.912,-203.16500000000002,"Republican Party, REP "
255.312,320.488,
255.312,-203.16500000000002,"Libertarian Party, LIB "
305.712,320.488,
305.712,-203.16500000000002,"U.S. Taxpayers Party, UST "
356.112,320.488,
356.112,-203.16500000000002,"Working Class Party, WCP "
406.512,320.488,
406.512,-203.16500000000002,"Green Party, GRN "
456.912,320.488,
456.912,-203.16500000000002,"Natural Law Party, NLP "
505.512,320.488,
505.512,-98.43400000000003,Cast Votes 
546.912,320.488,
546.912,-98.43400000000003,Undervotes 
582.912,320.488,
582.912,-98.43400000000003,Overvotes 
618.912,320.488,
618.912,-98.43400000000003,Rejected write-in votes 
660.312,320.488,
660.312,-98.43400000000003,Election Day Voting Ballots Cast 
707.112,320.488,
707.112,-98.43400000000003,Absentee Voting Ballots Cast 
753.912,320.488,
753.912,-98.43400000000003,Total Ballots Cast 
19.008,-113.41000000000003,"Mt. Morris Township, Precinct "
19.008,-124.06600000000003,7
160.416,-118.738,513
215.136,-118.738,28
269.856,-118.738,3
320.256,-118.738,0
370.656,-118.738,3
421.056,-118.738,3
471.456,-118.738,1
509.616,-118.738,551
545.616,-118.738,125
590.256,-118.738,2
626.256,-118.738,0
664.416,-118.738,346
711.216,-118.738,332
758.016,-118.738,678
19.008,-136.66600000000005,"Mt. Morris Township, Precinct "
19.008,-147.322,8
160.416,-141.99400000000003,320
215.136,-141.99400000000003,27
269.856,-141.99400000000003,1
320.256,-141.99400000000003,0
370.656,-141.99400000000003,0
421.056,-141.99400000000003,0
471.456,-141.99400000000003,2
509.616,-141.99400000000003,350
549.936,-141.99400000000003,60
590.256,-141.99400000000003,1
626.256,-141.99400000000003,0
664.416,-141.99400000000003,267
711.216,-141.99400000000003,144
758.016,-141.99400000000003,411
19.008,-159.99400000000003,"Mt. Morris Township, Precinct "
19.008,-170.65000000000003,9
160.416,-165.32200000000003,409
215.136,-165.32200000000003,49
269.856,-165.32200000000003,0
320.256,-165.32200000000003,4
370.656,-165.32200000000003,8
421.056,-165.32200000000003,0
471.456,-165.32200000000003,1
509.616,-165.32200000000003,471
549.936,-165.32200000000003,87
590.256,-165.32200000000003,4
626.256,-165.32200000000003,0
664.416,-165.32200000000003,336
711.216,-165.32200000000003,226
758.016,-165.32200000000003,562
19.008,-183.32200000000003,"Mt. Morris Township, Precinct "
19.008,-193.97800000000004,10
160.416,-188.65000000000003,284
215.136,-188.65000000000003,15
269.856,-188.65000000000003,1
320.256,-188.65000000000003,2
370.656,-188.65000000000003,3
421.056,-188.65000000000003,0
471.456,-188.65000000000003,0
509.616,-188.65000000000003,305
549.936,-188.65000000000003,48
590.256,-188.65000000000003,1
626.256,-188.65000000000003,0
664.416,-188.65000000000003,236
711.216,-188.65000000000003,118
758.016,-188.65000000000003,354
19.008,-206.65000000000003,"Mt. Morris Township, Precinct "
19.008,-217.306,11
160.416,-211.97800000000004,370
215.136,-211.97800000000004,26
269.856,-211.97800000000004,2
320.256,-211.97800000000004,0
370.656,-211.97800000000004,2
421.056,-211.97800000000004,0
471.456,-211.97800000000004,2
509.616,-211.97800000000004,402
549.936,-211.97800000000004,60
590.256,-211.97800000000004,0
626.256,-211.97800000000004,0
664.416,-211.97800000000004,275
711.216,-211.97800000000004,187
758.016,-211.97800000000004,462
19.008,-231.05800000000002,"Mundy Township, Precinct 1"
160.416,-231.05800000000002,524
210.816,-231.05800000000002,461
269.856,-231.05800000000002,4
320.256,-231.05800000000002,3
370.656,-231.05800000000002,1
421.056,-231.05800000000002,1
471.456,-231.05800000000002,0
509.616,-231.05800000000002,994
545.616,-231.05800000000002,731
590.256,-231.05800000000002,2
626.256,-231.05800000000002,0
664.416,-231.05800000000002,916
711.216,-231.05800000000002,811
751.968,-231.05800000000002,1727
19.008,-245.818,"Mundy Township, Precinct 2"
160.416,-245.818,384
210.816,-245.818,291
269.856,-245.818,2
320.256,-245.818,1
370.656,-245.818,7
421.056,-245.818,0
471.456,-245.818,0
509.616,-245.818,685
545.616,-245.818,449
590.256,-245.818,2
626.256,-245.818,0
664.416,-245.818,669
711.216,-245.818,467
751.968,-245.818,1136
19.008,-260.57800000000003,"Mundy Township, Precinct 3"
160.416,-260.57800000000003,415
210.816,-260.57800000000003,389
269.856,-260.57800000000003,4
320.256,-260.57800000000003,3
370.656,-260.57800000000003,5
421.056,-260.57800000000003,1
471.456,-260.57800000000003,0
509.616,-260.57800000000003,817
545.616,-260.57800000000003,717
590.256,-260.57800000000003,0
626.256,-260.57800000000003,0
664.416,-260.57800000000003,819
711.216,-260.57800000000003,715
751.968,-260.57800000000003,1534
19.008,-275.338,"Mundy Township, Precinct 4"
160.416,-275.338,309
210.816,-275.338,330
269.856,-275.338,1
320.256,-275.338,3
370.656,-275.338,5
421.056,-275.338,0
471.456,-275.338,0
509.616,-275.338,648
545.616,-275.338,475
590.256,-275.338,0
626.256,-275.338,0
664.416,-275.338,597
711.216,-275.338,526
751.968,-275.338,1123
19.008,-290.098,"Mundy Township, Precinct 5"
160.416,-290.098,237
210.816,-290.098,256
269.856,-290.098,6
320.256,-290.098,1
370.656,-290.098,1
421.056,-290.098,0
471.456,-290.098,0
509.616,-290.098,501
545.616,-290.098,452
590.256,-290.098,0
626.256,-290.098,0
664.416,-290.098,571
711.216,-290.098,382
758.016,-290.098,953
19.008,-304.85800000000006,"Mundy Township, Precinct 6"
164.736,-304.85800000000006,67
210.816,-304.85800000000006,107
269.856,-304.85800000000006,0
320.256,-304.85800000000006,0
370.656,-304.85800000000006,1
421.056,-304.85800000000006,0
471.456,-304.85800000000006,0
509.616,-304.85800000000006,175
545.616,-304.85800000000006,167
590.256,-304.85800000000006,1
626.256,-304.85800000000006,0
664.416,-304.85800000000006,222
711.216,-304.85800000000006,121
758.016,-304.85800000000006,343
19.008,-319.61800000000005,"Mundy Township, Precinct 7"
164.736,-319.61800000000005,86
210.816,-319.61800000000005,133
269.856,-319.61800000000005,0
320.256,-319.61800000000005,0
370.656,-319.61800000000005,2
421.056,-319.61800000000005,0
471.456,-319.61800000000005,0
