x,y,text
19.008,-204.67700000000002,Precinct
154.512,-203.16500000000002,"Brian A. LaJoie, DEM "
204.912,320.488,
204.912,-203.16500000000002,"Phil Green, REP "
255.312,320.488,
255.312,-203.16500000000002,Gabriel Bernard Lossing (W) 
303.912,320.488,
303.912,-98.43400000000003,Cast Votes 
345.312,320.488,
345.312,-98.43400000000003,Undervotes 
381.312,320.488,
381.312,-98.43400000000003,Overvotes 
417.312,320.488,
417.312,-98.43400000000003,Rejected write-in votes 
458.712,320.488,
458.712,-98.43400000000003,Election Day Voting Ballots Cast 
505.512,320.488,
505.512,-98.43400000000003,Absentee Voting Ballots Cast 
552.312,320.488,
552.312,-98.43400000000003,Total Ballots Cast 
599.112,320.488,
599.112,-98.43400000000003,Registered Voters 
644.112,320.488,
644.112,-98.43400000000003,Turnout Percentage 
19.008,-114.49000000000001,"Forest Township, Precinct 1"
160.416,-114.49000000000001,212
210.816,-114.49000000000001,364
269.856,-114.49000000000001,0
308.016,-114.49000000000001,576
348.336,-114.49000000000001,18
388.656,-114.49000000000001,0
424.656,-114.49000000000001,1
462.816,-114.49000000000001,385
509.616,-114.49000000000001,210
556.416,-114.49000000000001,595
603.216,-114.49000000000001,984
633.816,-114.49000000000001,60.47%
19.008,-129.25,"Forest Township, Precinct 2"
160.416,-129.25,395
210.816,-129.25,580
269.856,-129.25,0
308.016,-129.25,975
348.336,-129.25,30
388.656,-129.25,0
424.656,-129.25,1
462.816,-129.25,614
509.616,-129.25,392
550.368,-129.25,1006
597.168,-129.25,1691
633.816,-129.25,59.49%
19.008,-144.01000000000005,"Forest Township, Precinct 3"
160.416,-144.01000000000005,312
210.816,-144.01000000000005,427
269.856,-144.01000000000005,0
308.016,-144.01000000000005,739
348.336,-144.01000000000005,27
388.656,-144.01000000000005,0
424.656,-144.01000000000005,1
462.816,-144.01000000000005,461
509.616,-144.01000000000005,306
556.416,-144.01000000000005,767
597.168,-144.01000000000005,1257
633.816,-144.01000000000005,61.02%
19.008,-158.77000000000004,"Genesee Township, Precinct 1"
160.416,-158.77000000000004,325
210.816,-158.77000000000004,266
269.856,-158.77000000000004,0
308.016,-158.77000000000004,591
348.336,-158.77000000000004,22
388.656,-158.77000000000004,0
424.656,-158.77000000000004,4
462.816,-158.77000000000004,420
509.616,-158.77000000000004,197
556.416,-158.77000000000004,617
597.168,-158.77000000000004,1562
633.816,-158.77000000000004,39.50%
19.008,-173.53000000000003,"Genesee Township, Precinct 2"
160.416,-173.53000000000003,370
215.136,-173.53000000000003,89
269.856,-173.53000000000003,0
308.016,-173.53000000000003,459
348.336,-173.53000000000003,11
388.656,-173.53000000000003,0
424.656,-173.53000000000003,0
462.816,-173.53000000000003,297
509.616,-173.53000000000003,173
556.416,-173.53000000000003,470
597.168,-173.53000000000003,1514
633.816,-173.53000000000003,31.04%
19.008,-188.29000000000002,"Genesee Township, Precinct 3"
160.416,-188.29000000000002,324
210.816,-188.29000000000002,268
269.856,-188.29000000000002,0
308.016,-188.29000000000002,592
348.336,-188.29000000000002,16
388.656,-188.29000000000002,1
424.656,-188.29000000000002,0
462.816,-188.29000000000002,355
509.616,-188.29000000000002,254
556.416,-188.29000000000002,609
597.168,-188.29000000000002,1530
633.816,-188.29000000000002,39.80%
19.008,-203.05,"Genesee Township, Precinct 4"
160.416,-203.05,543
210.816,-203.05,534
269.856,-203.05,0
301.968,-203.05,1077
348.336,-203.05,41
388.656,-203.05,0
424.656,-203.05,2
462.816,-203.05,680
509.616,-203.05,440
550.368,-203.05,1120
597.168,-203.05,2088
633.816,-203.05,53.64%
19.008,-217.81000000000003,"Genesee Township, Precinct 5"
160.416,-217.81000000000003,331
210.816,-217.81000000000003,315
269.856,-217.81000000000003,0
308.016,-217.81000000000003,646
348.336,-217.81000000000003,40
388.656,-217.81000000000003,0
424.656,-217.81000000000003,3
462.816,-217.81000000000003,454
509.616,-217.81000000000003,235
556.416,-217.81000000000003,689
597.168,-217.81000000000003,1309
633.816,-217.81000000000003,52.64%
19.008,-232.57000000000002,"Genesee Township, Precinct 6"
160.416,-232.57000000000002,555
210.816,-232.57000000000002,516
269.856,-232.57000000000002,0
301.968,-232.57000000000002,1071
348.336,-232.57000000000002,34
388.656,-232.57000000000002,0
424.656,-232.57000000000002,1
462.816,-232.57000000000002,721
509.616,-232.57000000000002,385
550.368,-232.57000000000002,1106
597.168,-232.57000000000002,2751
633.816,-232.57000000000002,40.20%
19.008,-247.33,"Genesee Township, Precinct 8"
160.416,-247.33,683
210.816,-247.33,628
269.856,-247.33,0
301.968,-247.33,1311
348.336,-247.33,63
388.656,-247.33,0
424.656,-247.33,3
462.816,-247.33,833
509.616,-247.33,544
550.368,-247.33,1377
597.168,-247.33,2533
633.816,-247.33,54.36%
19.008,-262.09000000000003,"Genesee Township, Precinct 9"
160.416,-262.09000000000003,592
210.816,-262.09000000000003,457
269.856,-262.09000000000003,0
301.968,-262.09000000000003,1049
348.336,-262.09000000000003,37
388.656,-262.09000000000003,0
424.656,-262.09000000000003,1
462.816,-262.09000000000003,661
509.616,-262.09000000000003,426
550.368,-262.09000000000003,1087
597.168,-262.09000000000003,2230
633.816,-262.09000000000003,48.74%
19.008,-276.85,"Richfield Township, Precinct 1"
160.416,-276.85,567
210.816,-276.85,631
269.856,-276.85,0
301.968,-276.85,1198
348.336,-276.85,49
388.656,-276.85,0
424.656,-276.85,2
462.816,-276.85,805
509.616,-276.85,444
550.368,-276.85,1249
597.168,-276.85,2205
633.816,-276.85,56.64%
19.008,-291.61,"Richfield Township, Precinct 2"
160.416,-291.61,750
210.816,-291.61,930
269.856,-291.61,0
301.968,-291.61,1680
348.336,-291.61,72
388.656,-291.61,1
424.656,-291.61,0
462.816,-291.61,966
509.616,-291.61,787
550.368,-291.61,1753
597.168,-291.61,2762
633.816,-291.61,63.47%
19.008,-306.37,"Richfield Township, Precinct 3"
160.416,-306.37,550
210.816,-306.37,789
269.856,-306.37,2
301.968,-306.37,1341
348.336,-306.37,54
388.656,-306.37,0
424.656,-306.37,3
462.816,-306.37,884
509.616,-306.37,514
550.368,-306.37,1398
597.168,-306.37,2738
633.816,-306.37,51.06%
19.008,-321.13,"Thetford Township, Precinct 1"
160.416,-321.13,314
210.816,-321.13,388
269.856,-321.13,0
308.016,-321.13,702
348.336,-321.13,42
388.656,-321.13,0
424.656,-321.13,3
462.816,-321.13,455
509.616,-321.13,292
556.416,-321.13,747
597.168,-321.13,1661
633.816,-321.13,44.97%
19.008,-335.89000000000004,"Thetford Township, Precinct 2"
160.416,-335.89000000000004,197
210.816,-335.89000000000004,263
269.856,-335.89000000000004,0
308.016,-335.89000000000004,460
348.336,-335.89000000000004,25
388.656,-335.89000000000004,1
424.656,-335.89000000000004,2
462.816,-335.89000000000004,297
509.616,-335.89000000000004,191
556.416,-335.89000000000004,488
603.216,-335.89000000000004,845
633.816,-335.89000000000004,57.75%
19.008,-350.65000000000003,"Thetford Township, Precinct 3"
160.416,-350.65000000000003,341
210.816,-350.65000000000003,440
269.856,-350.65000000000003,0
308.016,-350.65000000000003,781
348.336,-350.65000000000003,35
388.656,-350.65000000000003,0
424.656,-350.65000000000003,2
462.816,-350.65000000000003,491
509.616,-350.65000000000003,327
556.416,-350.65000000000003,818
597.168,-350.65000000000003,1441
633.816,-350.65000000000003,56.77%
19.008,-365.41,"Thetford Township, Precinct 4"
160.416,-365.41,367
210.816,-365.41,543
269.856,-365.41,0
308.016,-365.41,910
348.336,-365.41,54
388.656,-365.41,0
424.656,-365.41,1
462.816,-365.41,634
509.616,-365.41,331
556.416,-365.41,965
597.168,-365.41,1688
633.816,-365.41,57.17%
19.008,-485.261,Totals
152.784,-485.261,7728
203.184,-485.261,8428
269.568,-485.261,2
295.776,-485.261,16158
343.152,-485.261,670
388.368,-485.261,3
419.76,-485.261,30
450.576,-485.261,10413
501.984,-485.261,6448
544.176,-485.261,16861
590.976,-485.261,32789
631.872,-485.261,51.42%
333.864,48.170999999999935,"Genesee County, Michigan"
296.784,116.90199999999993,"General Election, Tuesday, November 8, 2022"
373.248,88.89399999999995,11/8/2022
379.872,72.54999999999995,Page 151
700.056,57.53099999999995,Official Results
704.016,38.73900000000003,Registered Voters
671.328,129.06999999999994,172823 of 352545 = 49.02%
696.24,6.698999999999955,Precincts Reporting
692.928,97.02999999999997,206 of 206 = 100.00%
22.032,57.53099999999995,Canvass Results
22.032,117.62199999999996,Election Day
20.016,84.35799999999995,Run Time
20.016,69.95799999999997,Run Date
136.944,84.35799999999995,3:46 PM
124.704,69.95799999999997,11/22/2022
19.008,-62.997000000000014,Representative in State Legislature 67th District - Vote for not more than 1
