x,y,text
20.016,91.29899999999998,Governor and Lieutenant Governor - Vote for not more than 1
20.016,73.44299999999998,Choice
179.856,73.44299999999998,Party
267.336,73.44299999999998,Precinct
356.472,73.44299999999998,Absentee
476.64,73.44299999999998,Total
20.016,163.34199999999998,Gretchen Whitmer
20.016,152.68599999999992,Garlin D. Gilchrist II
179.856,163.34199999999998,DEM
249.552,163.34199999999998,402
275.832,163.34199999999998,45.68%
352.656,163.34199999999998,0
374.616,163.34199999999998,0.00%
445.68,163.34199999999998,402
471.96,163.34199999999998,45.68%
20.016,137.99799999999993,Tudor M. Dixon
20.016,127.34199999999998,Shane Hernandez
179.856,137.99799999999993,REP
249.552,137.99799999999993,462
275.832,137.99799999999993,52.50%
352.656,137.99799999999993,0
374.616,137.99799999999993,0.00%
445.68,137.99799999999993,462
471.96,137.99799999999993,52.50%
20.016,112.654,Mary Buzuma
20.016,101.99799999999993,Brian Ellison
179.856,112.654,LIB
253.872,112.654,12
280.152,112.654,1.36%
352.656,112.654,0
374.616,112.654,0.00%
450.0,112.654,12
476.28,112.654,1.36%
20.016,87.38199999999995,Donna Brandenburg
20.016,76.726,Mellissa Carone
179.856,87.38199999999995,UST
258.192,87.38199999999995,2
280.152,87.38199999999995,0.23%
352.656,87.38199999999995,0
374.616,87.38199999999995,0.00%
454.32,87.38199999999995,2
476.28,87.38199999999995,0.23%
20.016,62.037999999999954,Kevin Hogan
20.016,51.38199999999995,Destiny Clayton
179.856,62.037999999999954,GRN
258.192,62.037999999999954,0
280.152,62.037999999999954,0.00%
352.656,62.037999999999954,0
374.616,62.037999999999954,0.00%
454.32,62.037999999999954,0
476.28,62.037999999999954,0.00%
20.016,36.76599999999996,Daryl M. Simpson
20.016,26.109999999999957,Doug Dern
179.856,36.76599999999996,NLP
258.192,36.76599999999996,2
280.152,36.76599999999996,0.23%
352.656,36.76599999999996,0
374.616,36.76599999999996,0.00%
454.32,36.76599999999996,2
476.28,36.76599999999996,0.23%
20.016,11.421999999999969,Bob Scott (W)
258.192,11.421999999999969,0
280.152,11.421999999999969,0.00%
352.656,11.421999999999969,0
374.616,11.421999999999969,0.00%
454.32,11.421999999999969,0
476.28,11.421999999999969,0.00%
20.016,-4.418000000000006,Elizabeth Ann Adkisson (W)
258.192,-4.418000000000006,0
280.152,-4.418000000000006,0.00%
352.656,-4.418000000000006,0
374.616,-4.418000000000006,0.00%
454.32,-4.418000000000006,0
476.28,-4.418000000000006,0.00%
20.016,-20.258000000000038,Ervin Joseph Lamie (W)
258.192,-20.258000000000038,0
280.152,-20.258000000000038,0.00%
352.656,-20.258000000000038,0
374.616,-20.258000000000038,0.00%
454.32,-20.258000000000038,0
476.28,-20.258000000000038,0.00%
20.016,-36.09800000000001,Eugene Rosell Hunt Jr (W)
258.192,-36.09800000000001,0
280.152,-36.09800000000001,0.00%
352.656,-36.09800000000001,0
374.616,-36.09800000000001,0.00%
454.32,-36.09800000000001,0
476.28,-36.09800000000001,0.00%
20.016,-51.938000000000045,Evan S Space (W)
258.192,-51.938000000000045,0
280.152,-51.938000000000045,0.00%
352.656,-51.938000000000045,0
374.616,-51.938000000000045,0.00%
454.32,-51.938000000000045,0
476.28,-51.938000000000045,0.00%
20.016,-67.77800000000002,Joseph Irving (W)
258.192,-67.77800000000002,0
280.152,-67.77800000000002,0.00%
352.656,-67.77800000000002,0
374.616,-67.77800000000002,0.00%
454.32,-67.77800000000002,0
476.28,-67.77800000000002,0.00%
20.016,-83.61800000000005,Joseph Michael Hunt (W)
258.192,-83.61800000000005,0
280.152,-83.61800000000005,0.00%
352.656,-83.61800000000005,0
374.616,-83.61800000000005,0.00%
454.32,-83.61800000000005,0
476.28,-83.61800000000005,0.00%
20.016,-99.45800000000003,Joyce Priscilla Gipson (W)
258.192,-99.45800000000003,0
280.152,-99.45800000000003,0.00%
352.656,-99.45800000000003,0
374.616,-99.45800000000003,0.00%
454.32,-99.45800000000003,0
476.28,-99.45800000000003,0.00%
20.016,-115.298,Justi Paul Blackburn (W)
258.192,-115.298,0
280.152,-115.298,0.00%
352.656,-115.298,0
374.616,-115.298,0.00%
454.32,-115.298,0
476.28,-115.298,0.00%
20.016,-131.13800000000003,Michael David Kelly (W)
258.192,-131.13800000000003,0
280.152,-131.13800000000003,0.00%
352.656,-131.13800000000003,0
374.616,-131.13800000000003,0.00%
454.32,-131.13800000000003,0
476.28,-131.13800000000003,0.00%
20.016,-146.978,Michael Ray Deck (W)
258.192,-146.978,0
280.152,-146.978,0.00%
352.656,-146.978,0
374.616,-146.978,0.00%
454.32,-146.978,0
476.28,-146.978,0.00%
170.424,-164.69000000000003,Cast Votes:
249.552,-164.69000000000003,880
271.584,-164.69000000000003,100.00%
352.656,-164.69000000000003,0
374.616,-164.69000000000003,0.00%
445.68,-164.69000000000003,880
467.712,-164.69000000000003,100.00%
171.576,-179.37800000000001,Overvotes:
258.192,-179.37800000000001,1
352.656,-179.37800000000001,0
454.32,-179.37800000000001,1
117.216,-193.77800000000002,Unresolved write-in votes:
258.192,-193.77800000000002,0
352.656,-193.77800000000002,0
454.32,-193.77800000000002,0
20.016,-331.701,Secretary of State - Vote for not more than 1
20.016,-349.557,Choice
179.856,-349.557,Party
267.336,-349.557,Precinct
356.472,-349.557,Absentee
476.64,-349.557,Total
20.016,-259.658,Jocelyn Benson
179.856,-259.658,DEM
249.552,-259.658,432
275.832,-259.658,49.54%
352.656,-259.658,0
374.616,-259.658,0.00%
445.68,-259.658,432
