x,y,text
20.016,91.29899999999998,State Senator 33rd District - Vote for not more than 1
20.016,73.44299999999998,Choice
179.856,73.44299999999998,Party
218.592,73.44299999999998,Election Day Voting
326.016,73.44299999999998,Absentee Voting
476.64,73.44299999999998,Total
20.016,163.34199999999998,Mark Bignell
179.856,163.34199999999998,DEM
253.872,163.34199999999998,79
275.832,163.34199999999998,21.70%
352.656,163.34199999999998,0
374.616,163.34199999999998,0.00%
450.0,163.34199999999998,79
471.96,163.34199999999998,21.70%
20.016,147.50199999999995,Rick Outman
179.856,147.50199999999995,REP
249.552,147.50199999999995,277
275.832,147.50199999999995,76.10%
352.656,147.50199999999995,0
374.616,147.50199999999995,0.00%
445.68,147.50199999999995,277
471.96,147.50199999999995,76.10%
20.016,131.66199999999992,Jay Gillotte
179.856,131.66199999999992,LIB
258.192,131.66199999999992,8
280.152,131.66199999999992,2.20%
352.656,131.66199999999992,0
374.616,131.66199999999992,0.00%
454.32,131.66199999999992,8
476.28,131.66199999999992,2.20%
170.424,113.94999999999993,Cast Votes:
249.552,113.94999999999993,364
271.584,113.94999999999993,100.00%
352.656,113.94999999999993,0
374.616,113.94999999999993,0.00%
445.68,113.94999999999993,364
467.712,113.94999999999993,100.00%
166.68,92.34999999999997,Undervotes:
253.872,92.34999999999997,16
352.656,92.34999999999997,0
450.0,92.34999999999997,16
171.576,77.66199999999998,Overvotes:
258.192,77.66199999999998,0
352.656,77.66199999999998,0
454.32,77.66199999999998,0
126.792,63.262,Rejected write-in votes:
258.192,63.262,1
352.656,63.262,0
454.32,63.262,1
117.216,48.861999999999966,Unresolved write-in votes:
258.192,48.861999999999966,0
352.656,48.861999999999966,0
454.32,48.861999999999966,0
20.016,-89.13300000000004,Representative in State Legislature 89th District - Vote for not more than 1
20.016,-106.98900000000003,Choice
179.856,-106.98900000000003,Party
218.592,-106.98900000000003,Election Day Voting
326.016,-106.98900000000003,Absentee Voting
476.64,-106.98900000000003,Total
20.016,-17.090000000000032,Sharon McConnon
179.856,-17.090000000000032,DEM
253.872,-17.090000000000032,74
275.832,-17.090000000000032,20.44%
352.656,-17.090000000000032,0
374.616,-17.090000000000032,0.00%
450.0,-17.090000000000032,74
471.96,-17.090000000000032,20.44%
20.016,-32.93000000000001,Luke Meerman
179.856,-32.93000000000001,REP
249.552,-32.93000000000001,288
275.832,-32.93000000000001,79.56%
352.656,-32.93000000000001,0
374.616,-32.93000000000001,0.00%
445.68,-32.93000000000001,288
471.96,-32.93000000000001,79.56%
170.424,-50.64200000000005,Cast Votes:
249.552,-50.64200000000005,362
271.584,-50.64200000000005,100.00%
352.656,-50.64200000000005,0
374.616,-50.64200000000005,0.00%
445.68,-50.64200000000005,362
