county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Democratic,DEM,102,0,102
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Republican,REP,257,0,257
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Libertarian,LIB,2,0,2
Muskegon,"Moorland Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,0,0
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Working Class,WC,4,0,4
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Green,GRN,1,0,1
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Cast Votes,,366,0,366
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Overvotes,,0,0,0
Muskegon,"Moorland Township, Precinct 1",Straight Party,,Unresolved,,0,0,0
