county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,Dana Nessel,DEM,267,325,592
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,Matthew DePerno,REP,353,201,554
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,"Joseph W. McHugh, Jr.",LIB,15,4,19
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,Gerald T. Van Sickle,UST,5,1,6
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,Cast Votes,,640,531,1171
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,Overvotes,,1,0,1
Muskegon,"City of Norton Shores, Precinct 7",Attorney General,,Unresolved,,0,0,0
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,,,,,
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,Hillary Scholten,DEM,264,327,591
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,John Gibbs,REP,359,193,552
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,Jamie Lewis,LIB,8,6,14
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,Louis Palus,WC,11,4,15
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,Cast Votes,,642,530,1172
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,Overvotes,,0,0,0
Muskegon,"City of Norton Shores, Precinct 7",U.S. House,3,Unresolved,,0,0,0
Muskegon,"City of Norton Shores, Precinct 7",State Senate,32,,,,,
Muskegon,"City of Norton Shores, Precinct 7",State Senate,32,Terry J. Sabo,DEM,246,298,544
Muskegon,"City of Norton Shores, Precinct 7",State Senate,32,Jon C. Bumstead,REP,386,239,625
Muskegon,"City of Norton Shores, Precinct 7",State Senate,32,Cast Votes,,632,537,1169
Muskegon,"City of Norton Shores, Precinct 7",State Senate,32,Overvotes,,0,0,0
Muskegon,"City of Norton Shores, Precinct 7",State Senate,32,Unresolved,,0,0,0
Muskegon,"City of Norton Shores, Precinct 7",State House,88,,,,,
Muskegon,"City of Norton Shores, Precinct 7",State House,88,Christine Baker,DEM,228,275,503
Muskegon,"City of Norton Shores, Precinct 7",State House,88,Greg VanWoerkom,REP,394,256,650
Muskegon,"City of Norton Shores, Precinct 7",State House,88,Marv Bolthouse,LIB,15,1,16
Muskegon,"City of Norton Shores, Precinct 7",State House,88,Cast Votes,,637,532,1169
Muskegon,"City of Norton Shores, Precinct 7",State House,88,Overvotes,,0,0,0
Muskegon,"City of Norton Shores, Precinct 7",State House,88,Unresolved,,0,0,0
