county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Democratic,DEM,183,166,349
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Republican,REP,488,190,678
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Libertarian,LIB,4,0,4
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Working Class,WC,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Green,GRE,1,0,1
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Cast Votes,,676,357,1033
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Undervotes,,636,304,940
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Overvotes,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Rejected,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 5",Straight Party,,Unresolved,,0,0,0
