county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,DEM,217,100,317
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,REP,225,58,283
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,LIB,5,4,9
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,UST,3,0,3
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,GRE,0,1,1
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,NAL,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,450,163,613
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,5,0,5
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,1,1
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,1,0,1
Ottawa,"Holland Charter Township, Precinct 2",Governor,,Gretchen Whitmer,,0,0,0
